behavior,mean,max,login,search,create_search,edit_search,delete_search,win_opportunity,advance_stage,add_competitor,revert_stage,lose_opportunity,quote,create_opportunity,add_contact,edit_contact,add_lead,unsub_lead,edit_lead,email_lead,call_lead,create_list,delete_list,email_list,meeting,schedule_meeting,edit_meeting,cancel_meeting,users,win_opportunity_value
quote,5,30,0.5,0.4,0.4,0.3,0.3,0.6,0.5,0.4,0.4,0.3,1,0.75,0.3,0.3,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
create_opportunity,3,20,0.5,0.5,0.4,0.3,0.3,0.6,0.5,0.4,0.5,0.3,0.75,1,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
add_contact,5,20,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1,0.5,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
edit_contact,5,50,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,1,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
add_lead,10,50,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.4,0.7,0.5,1,0.6,0.7,0.6,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
unsub_lead,5,20,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.6,1,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
edit_lead,5,25,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.7,0.4,1,0.6,0.5,0.6,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
email_lead,10,50,0.5,0.3,0.3,0.3,0.3,0.5,0.5,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.6,0.4,0.6,1,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
call_lead,10,50,0.5,0.3,0.3,0.3,0.3,0.5,0.5,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.6,0.4,0.5,0.4,1,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
create_list,2,5,0.5,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.4,0.6,0.4,0.4,1,0.4,0.7,0.3,0.3,0.3,0.3,0.3,0.3
delete_list,1,5,0.5,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1,0.4,0.3,0.3,0.3,0.3,0.3,0.3
email_list,4,10,0.5,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.4,1,0.4,0.4,0.4,0.4,0.3,0.3
meeting,5,90,0.5,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,1,0.9,0.6,0.5,0.3,0.3
schedule_meeting,8,60,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.9,1,0.6,0.6,0.3,0.3
edit_meeting,8,50,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.6,0.6,1,0.5,0.3,0.3
cancel_meeting,4,10,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.5,1,0.3,0.3
users,5,50,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1,0.5
win_opportunity_value,10000,50000,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,1
